Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Date
2008,Apr,16,Wednesday,19:05:00,2008-04-16 19:15:00,20:40:00,20:47:00,XE,2600,N11548,95.0,92.0,75.0,-7.0,-10.0,CLE,BTV,489.0,2.0,18.0,0.0,,0.0,,,,,,2008-04-16
2008,Jan,11,Friday,09:10:00,2008-01-11 09:09:00,11:46:00,11:30:00,FL,690,N987AT,156.0,141.0,137.0,16.0,1.0,BWI,SRQ,880.0,4.0,15.0,0.0,,0.0,1.0,0.0,15.0,0.0,0.0,2008-01-11
2008,Apr,15,Tuesday,06:00:00,2008-04-15 06:00:00,07:41:00,07:45:00,DL,690,N679DA,101.0,105.0,81.0,-4.0,0.0,PBI,ATL,545.0,5.0,15.0,0.0,,0.0,,,,,,2008-04-15
2008,Apr,13,Sunday,05:53:00,2008-04-13 06:00:00,08:31:00,08:37:00,NW,740,N527US,98.0,97.0,78.0,-6.0,-7.0,MSP,DTW,528.0,6.0,14.0,0.0,,0.0,,,,,,2008-04-13
2008,Feb,1,Friday,09:31:00,2008-02-01 09:30:00,16:30:00,16:37:00,US,310,N816AW,239.0,247.0,209.0,-7.0,1.0,LAS,CLT,1916.0,8.0,22.0,0.0,,0.0,,,,,,2008-02-01
2008,Feb,8,Friday,19:00:00,2008-02-08 18:50:00,21:23:00,21:30:00,CO,346,N78506,143.0,160.0,113.0,-7.0,10.0,IAH,ORD,925.0,8.0,22.0,0.0,,0.0,,,,,,2008-02-08
2008,Apr,15,Tuesday,19:22:00,2008-04-15 19:25:00,20:27:00,20:26:00,DL,1131,N903DA,125.0,121.0,100.0,1.0,-3.0,SLC,LAX,590.0,9.0,16.0,0.0,,0.0,,,,,,2008-04-15
2008,Feb,19,Tuesday,12:15:00,2008-02-19 12:20:00,13:54:00,14:02:00,DL,1158,N3733Z,99.0,102.0,76.0,-8.0,-5.0,ATL,BWI,576.0,4.0,19.0,0.0,,0.0,,,,,,2008-02-19
2008,May,15,Thursday,13:31:00,2008-05-15 13:34:00,14:48:00,14:19:00,OO,5718,N292SW,77.0,45.0,22.0,29.0,-3.0,SFO,MOD,78.0,3.0,52.0,0.0,,0.0,0.0,0.0,29.0,0.0,0.0,2008-05-15
2008,May,12,Monday,09:05:00,2008-05-12 09:07:00,10:17:00,10:25:00,9E,3777,80249E,72.0,78.0,43.0,-8.0,-2.0,DTW,CVG,229.0,10.0,19.0,0.0,,0.0,,,,,,2008-05-12
2008,Jun,20,Friday,12:06:00,2008-06-20 11:56:00,14:35:00,14:25:00,EV,4697,N823AS,89.0,89.0,71.0,10.0,10.0,MLU,ATL,448.0,10.0,8.0,0.0,,0.0,,,,,,2008-06-20
2008,Jul,23,Wednesday,10:37:00,2008-07-23 10:40:00,11:34:00,11:40:00,WN,1695,N407WN,57.0,60.0,38.0,-6.0,-3.0,FLL,TPA,197.0,4.0,15.0,0.0,,0.0,,,,,,2008-07-23
2008,Jan,2,Wednesday,16:11:00,2008-01-02 15:30:00,17:50:00,17:08:00,NW,1140,N8945E,99.0,98.0,71.0,42.0,41.0,DTW,BWI,408.0,8.0,20.0,0.0,,0.0,41.0,0.0,1.0,0.0,0.0,2008-01-02
2008,Feb,26,Tuesday,10:22:00,2008-02-26 10:25:00,12:41:00,12:45:00,AA,1037,N492AA,199.0,200.0,154.0,-4.0,-3.0,LGA,MSP,1020.0,3.0,42.0,0.0,,0.0,,,,,,2008-02-26
2008,Jan,28,Monday,13:42:00,2008-01-28 13:25:00,14:40:00,14:35:00,WN,2791,N342SW,58.0,70.0,45.0,5.0,17.0,SJC,LAX,308.0,4.0,9.0,0.0,,0.0,,,,,,2008-01-28
2008,Jun,21,Saturday,11:24:00,2008-06-21 11:20:00,14:51:00,15:00:00,AA,1788,N434AA,147.0,160.0,133.0,-9.0,4.0,DFW,RDU,1062.0,3.0,11.0,0.0,,0.0,,,,,,2008-06-21
2008,Feb,11,Monday,13:41:00,2008-02-11 13:32:00,17:10:00,16:58:00,XE,7671,N14180,149.0,146.0,119.0,12.0,9.0,SLC,MCI,919.0,4.0,26.0,0.0,,0.0,,,,,,2008-02-11
2008,Apr,3,Thursday,09:16:00,2008-04-03 09:15:00,10:54:00,10:44:00,CO,739,N79402,218.0,209.0,196.0,10.0,1.0,IAH,SAN,1303.0,3.0,19.0,0.0,,0.0,,,,,,2008-04-03
2008,Mar,20,Thursday,19:46:00,2008-03-20 18:41:00,01:20:00,00:20:00,UA,1126,N649UA,214.0,219.0,188.0,60.0,65.0,DEN,BOS,1754.0,8.0,18.0,0.0,,0.0,60.0,0.0,0.0,0.0,0.0,2008-03-20
2008,Jun,30,Monday,19:28:00,2008-06-30 19:25:00,20:45:00,20:55:00,AA,363,N407AA,137.0,150.0,108.0,-10.0,3.0,LGA,ORD,733.0,3.0,26.0,0.0,,0.0,,,,,,2008-06-30
2008,Apr,3,Thursday,10:16:00,2008-04-03 09:30:00,12:09:00,11:19:00,B6,907,N183JB,173.0,169.0,145.0,50.0,46.0,JFK,ORD,740.0,8.0,20.0,0.0,,0.0,1.0,0.0,4.0,0.0,45.0,2008-04-03
2008,May,30,Friday,17:55:00,2008-05-30 17:50:00,19:36:00,19:44:00,UA,1469,N471UA,161.0,174.0,145.0,-8.0,5.0,MSY,DEN,1062.0,8.0,8.0,0.0,,0.0,,,,,,2008-05-30
2008,Mar,18,Tuesday,13:31:00,2008-03-18 13:40:00,15:24:00,15:50:00,XE,2085,N13936,113.0,130.0,90.0,-26.0,-9.0,TYS,EWR,631.0,5.0,18.0,0.0,,0.0,,,,,,2008-03-18
2008,May,4,Sunday,08:33:00,2008-05-04 08:35:00,10:25:00,10:39:00,9E,3711,87109E,112.0,124.0,90.0,-14.0,-2.0,CAE,DTW,583.0,11.0,11.0,0.0,,0.0,,,,,,2008-05-04
2008,Jun,30,Monday,19:26:00,2008-06-30 19:30:00,20:12:00,20:25:00,MQ,3094,N253AE,46.0,55.0,31.0,-13.0,-4.0,SAN,LAX,109.0,7.0,8.0,0.0,,0.0,,,,,,2008-06-30
2008,Jan,16,Wednesday,,2008-01-16 17:59:00,,18:59:00,EV,4445,N937EV,,60.0,,,,AGS,ATL,143.0,,,1.0,weather,0.0,,,,,,2008-01-16
2008,Apr,2,Wednesday,21:47:00,2008-04-02 21:30:00,22:41:00,22:30:00,WN,896,N684WN,54.0,60.0,44.0,11.0,17.0,PHX,LAS,256.0,3.0,7.0,0.0,,0.0,,,,,,2008-04-02
2008,Apr,25,Friday,06:38:00,2008-04-25 06:50:00,08:57:00,08:50:00,MQ,3444,N669MB,139.0,120.0,105.0,7.0,-12.0,PIA,DFW,673.0,15.0,19.0,0.0,,0.0,,,,,,2008-04-25
2008,Apr,20,Sunday,10:45:00,2008-04-20 10:55:00,13:38:00,13:43:00,YV,7282,N514MJ,113.0,108.0,93.0,-5.0,-10.0,ORD,CLT,599.0,3.0,17.0,0.0,,0.0,,,,,,2008-04-20
2008,Feb,14,Thursday,06:43:00,2008-02-14 06:45:00,06:40:00,06:30:00,MQ,4402,N686AE,57.0,45.0,32.0,10.0,-2.0,MQT,GRB,134.0,4.0,21.0,0.0,,0.0,,,,,,2008-02-14
2008,Jan,26,Saturday,10:51:00,2008-01-26 10:35:00,13:54:00,13:05:00,B6,822,N504JB,183.0,150.0,137.0,49.0,16.0,MCO,JFK,944.0,15.0,31.0,0.0,,0.0,2.0,0.0,33.0,0.0,14.0,2008-01-26
2008,Apr,16,Wednesday,18:15:00,2008-04-16 18:15:00,18:56:00,19:00:00,WN,708,N773SA,41.0,45.0,28.0,-4.0,0.0,HOU,AUS,148.0,5.0,8.0,0.0,,0.0,,,,,,2008-04-16
2008,Jan,11,Friday,06:50:00,2008-01-11 06:55:00,07:50:00,08:01:00,9E,5967,85609E,120.0,126.0,98.0,-11.0,-5.0,GSO,MEM,570.0,7.0,15.0,0.0,,0.0,,,,,,2008-01-11
2008,Apr,27,Sunday,14:40:00,2008-04-27 14:40:00,15:02:00,15:05:00,EV,4341,N640AS,82.0,85.0,59.0,-3.0,0.0,ATL,PFN,247.0,2.0,21.0,0.0,,0.0,,,,,,2008-04-27
2008,Jan,22,Tuesday,11:09:00,2008-01-22 09:45:00,12:51:00,11:10:00,OO,6343,N762SK,102.0,85.0,75.0,101.0,84.0,SNA,SFO,372.0,4.0,23.0,0.0,,0.0,0.0,0.0,101.0,0.0,0.0,2008-01-22
2008,Jan,21,Monday,08:05:00,2008-01-21 08:14:00,10:29:00,10:31:00,OH,5519,N720SW,144.0,137.0,110.0,-2.0,-9.0,LGA,CVG,585.0,4.0,30.0,0.0,,0.0,,,,,,2008-01-21
2008,May,21,Wednesday,15:18:00,2008-05-21 15:22:00,16:30:00,16:32:00,NW,970,N753NW,72.0,70.0,42.0,-2.0,-4.0,PIT,DTW,201.0,15.0,15.0,0.0,,0.0,,,,,,2008-05-21
2008,May,22,Thursday,09:06:00,2008-05-22 08:57:00,09:43:00,09:44:00,NW,658,N940N,37.0,47.0,24.0,-1.0,9.0,DTW,MBS,98.0,2.0,11.0,0.0,,0.0,,,,,,2008-05-22
2008,Mar,19,Wednesday,10:44:00,2008-03-19 10:40:00,13:16:00,13:05:00,AA,1475,N5FNAA,212.0,205.0,185.0,11.0,4.0,BWI,DFW,1217.0,13.0,14.0,0.0,,0.0,,,,,,2008-03-19
